Distance_(mm),Gray_Value
0.00000,17.8254
0.00471,17.8254
0.00942,23.1714
0.01414,23.1714
0.01885,25.8476
0.02356,25.8476
0.02827,25.6603
0.03298,25.6603
0.03770,24.6889
0.04241,24.6889
0.04712,21.7619
0.05183,21.7619
0.05654,17.4413
0.06126,17.4413
0.06597,16.7587
0.07068,16.7587
0.07539,17.1333
0.08010,17.1333
0.08482,20.7460
0.08953,20.7460
0.09424,26.4857
0.09895,27.1175
0.10367,33.7746
0.10838,47.7841
0.11309,52.8857
0.11780,60.1016
0.12251,54.0413
0.12723,52.8032
0.13194,35.8064
0.13665,29.7365
0.14136,22.7143
0.14607,22.7143
0.15079,17.8984
0.15550,17.8984
0.16021,16.2825
0.16492,16.2825
0.16963,16.5683
0.17435,16.5683
0.17906,22.7397
0.18377,34.6857
0.18848,62.3587
0.19319,83.1016
0.19791,90.5111
0.20262,98.7810
0.20733,93.0698
0.21204,95.5683
0.21675,76.2921
0.22147,61.1683
0.22618,37.0349
0.23089,27.6190
0.23560,22.0603
0.24031,22.0603
0.24503,20.0000
0.24974,20.0000
0.25445,19.2381
0.25916,19.2381
0.26387,19.8032
0.26859,19.8032
0.27330,22.5397
0.27801,33.5397
0.28272,47.2286
0.28743,61.2063
0.29215,62.2825
0.29686,67.4794
0.30157,52.8730
0.30628,38.8508
0.31100,22.7873
0.31571,17.7333
0.32042,15.7841
0.32513,15.7841
0.32984,16.2286
0.33456,16.2286
0.33927,18.0032
0.34398,18.0032
0.34869,21.4635
0.35340,21.4635
0.35812,25.0349
0.36283,25.0349
0.36754,25.8413
0.37225,25.8159
0.37696,25.4381
0.38168,25.4381
0.38639,22.6825
0.39110,22.6825
0.39581,18.2349
0.40052,18.2349
0.40524,17.2317
0.40995,17.2317
0.41466,17.5048
0.41937,17.5048
0.42408,21.1683
0.42880,21.1683
0.43351,27.5937
0.43822,36.5460
0.44293,49.7175
0.44764,65.0603
0.45236,65.5365
0.45707,68.4286
0.46178,57.4476
0.46649,52.6286
0.47120,30.8508
0.47592,26.9429
0.48063,21.2095
0.48534,21.2095
0.49005,15.9873
0.49476,15.9873
0.49948,14.2476
0.50419,14.2476
0.50890,13.7587
0.51361,13.7587
0.51833,16.0635
0.52304,16.1714
0.52775,20.8032
0.53246,25.5587
0.53717,26.8635
0.54189,26.9079
0.54660,20.4254
0.55131,19.4921
0.55602,17.1238
0.56073,17.1238
0.56545,15.5270
0.57016,15.5270
0.57487,16.7333
0.57958,16.7333
0.58429,18.1302
0.58901,18.1302
0.59372,23.7143
0.59843,23.7143
0.60314,29.4063
0.60785,40.0889
0.61257,54.7206
0.61728,66.6127
0.62199,62.9397
0.62670,66.3206
0.63141,51.7365
0.63613,40.1905
0.64084,26.4603
0.64555,24.0317
0.65026,18.4190
0.65497,18.4190
0.65969,16.8635
0.66440,16.8635
0.66911,17.0476
0.67382,17.0476
0.67853,20.0381
0.68325,20.0381
0.68796,24.7556
0.69267,24.7683
0.69738,26.2857
0.70209,26.2698
0.70681,26.1873
0.71152,26.2254
0.71623,25.0063
0.72094,25.0063
0.72566,20.2984
0.73037,20.2984
0.73508,15.4825
0.73979,15.4825
0.74450,14.2000
0.74922,14.2000
0.75393,14.3810
0.75864,14.3810
0.76335,17.8794
0.76806,18.3937
0.77278,24.6063
0.77749,26.6063
0.78220,28.3778
0.78691,31.9111
0.79162,27.4222
0.79634,25.2952
0.80105,22.7905
0.80576,22.7905
0.81047,18.0540
0.81518,18.0540
0.81990,17.3016
0.82461,17.3016
0.82932,17.0889
0.83403,17.0889
0.83874,20.6857
0.84346,20.6857
0.84817,25.8635
0.85288,39.0794
0.85759,58.4476
0.86230,75.8571
0.86702,73.6413
0.87173,80.2159
0.87644,70.3937
0.88115,63.2413
0.88586,38.2127
0.89058,25.2508
0.89529,18.2508
0.90000,18.1175
0.90471,16.6476
0.90943,16.6476
0.91414,17.0698
0.91885,17.0698
0.92356,19.7175
0.92827,19.7175
0.93299,25.2889
0.93770,26.4476
0.94241,35.8857
0.94712,53.5619
0.95183,57.1365
0.95655,63.0444
0.96126,55.0286
0.96597,52.2222
0.97068,32.8064
0.97539,28.0127
0.98011,21.2635
0.98482,21.2635
0.98953,15.9746
0.99424,15.9746
0.99895,15.0476
1.00367,15.0476
1.00838,15.6794
1.01309,15.6794
1.01780,20.2984
1.02251,20.2984
1.02723,25.0762
1.03194,25.9524
1.03665,28.1873
1.04136,29.2349
1.04607,28.1556
1.05079,28.0794
1.05550,25.1492
1.06021,25.1206
1.06492,20.4381
1.06963,20.4381
1.07435,16.0254
1.07906,16.0254
1.08377,15.0857
1.08848,15.0857
1.09319,14.8127
1.09791,14.8127
1.10262,19.0921
1.10733,19.0921
