Distance_(mm),Gray_Value
0.000000,24.373
0.004712,24.479
0.009424,27.409
0.014136,32.297
0.018848,43.287
0.023560,48.715
0.028272,52.645
0.032984,38.820
0.037696,35.211
0.042408,25.941
0.047120,24.281
0.051833,23.556
0.056545,29.804
0.061257,43.252
0.065969,69.903
0.070681,85.680
0.075393,114.394
0.080105,93.635
0.084817,81.449
0.089529,51.394
0.094241,32.322
0.098953,20.510
0.103665,21.488
0.108377,40.045
0.113089,74.556
0.117801,98.993
0.122513,133.568
0.127225,140.992
0.131937,146.914
0.136649,121.495
0.141361,84.043
0.146073,50.911
0.150785,19.007
0.155498,42.389
0.160210,81.843
0.164922,112.812
0.169634,145.457
0.174346,149.520
0.179058,147.886
0.183770,144.675
0.188482,141.642
0.193194,96.483
0.197906,71.455
0.202618,27.723
0.207330,11.629
0.212042,41.911
0.216754,86.031
0.221466,126.955
0.226178,164.746
0.230890,165.518
0.235602,135.322
0.240314,86.701
0.245026,49.002
0.249738,21.515
0.254451,20.596
0.259163,46.114
0.263875,92.584
0.268587,112.246
0.273299,149.460
0.278011,152.850
0.282723,160.573
0.287435,148.870
0.292147,109.822
0.296859,73.782
0.301571,34.642
0.306283,28.314
0.310995,48.617
0.315707,83.559
0.320419,113.368
0.325131,135.018
0.329843,146.401
0.334555,124.972
0.339267,97.469
0.343979,62.155
0.348691,38.391
0.353404,22.000
0.358116,30.540
0.362828,58.569
0.367540,93.442
0.372252,109.218
0.376964,132.799
0.381676,98.462
0.386388,79.561
0.391100,45.269
0.395812,29.954
0.400524,23.406
0.405236,27.685
0.409948,40.954
0.414660,67.177
0.419372,68.594
0.424084,82.074
0.428796,57.599
0.433508,45.843
0.438220,30.142
0.442932,23.021
0.447644,23.393
0.452356,29.099
0.457069,31.521
0.461781,44.064
0.466493,35.358
0.471205,37.982
0.475917,28.995
0.480629,26.078
0.485341,24.693
0.490053,25.703
