Distance_(mm),Gray_Value
0.000000,42.083
0.004712,37.899
0.009424,37.106
0.014136,39.605
0.018848,48.612
0.023560,57.104
0.028272,55.494
0.032984,52.302
0.037696,43.169
0.042408,37.501
0.047120,28.990
0.051833,30.637
0.056545,42.675
0.061257,61.647
0.065969,69.698
0.070681,85.431
0.075393,65.657
0.080105,51.496
0.084817,37.211
0.089529,26.577
0.094241,24.237
0.098953,39.063
0.103665,60.849
0.108377,97.857
0.113089,109.313
0.117801,132.370
0.122513,97.823
0.127225,75.547
0.131937,41.765
0.136649,19.862
0.141361,39.303
0.146073,78.395
0.150785,103.871
0.155498,140.290
0.160210,146.776
0.164922,147.385
0.169634,138.794
0.174346,121.325
0.179058,72.638
0.183770,48.453
0.188482,36.894
0.193194,80.119
0.197906,122.194
0.202618,162.934
0.207330,192.947
0.212042,193.715
0.216754,187.796
0.221466,149.310
0.226178,95.750
0.230890,54.881
0.235602,22.733
0.240314,56.076
0.245026,81.141
0.249738,125.668
0.254451,144.614
0.259163,158.242
0.263875,159.264
0.268587,136.163
0.273299,98.857
0.278011,58.240
0.282723,29.451
0.287435,37.662
0.292147,72.682
0.296859,108.159
0.301571,127.587
0.306283,134.396
0.310995,95.829
0.315707,69.507
0.320419,41.023
0.325131,23.672
0.329843,39.340
0.334555,67.027
0.339267,77.328
0.343979,102.755
0.348691,77.536
0.353404,65.766
0.358116,40.158
0.362828,29.474
0.367540,34.073
0.372252,51.728
0.376964,62.819
0.381676,83.899
0.386388,70.119
0.391100,58.758
0.395812,40.962
0.400524,30.158
0.405236,31.209
0.409948,43.255
0.414660,46.118
0.419372,52.507
0.424084,43.401
0.428796,35.942
0.433508,31.491
0.438220,31.073
0.442932,32.199
0.447644,34.398
0.452356,31.839
