time,(LX)
"8,950,000.00","49,488,770,000"
"9,000,000.00","49,488,380,000"
"9,050,000.00","49,493,020,000"
"9,100,000.00","49,489,270,000"
"9,150,000.00","49,497,860,000"
"9,200,000.00","49,496,970,000"
"9,250,000.00","49,488,280,000"
"9,300,000.00","49,486,200,000"
"9,350,000.00","49,481,170,000"
"9,400,000.00","49,483,340,000"
"9,450,000.00","49,484,720,000"
"9,500,000.00","49,496,280,000"
"9,550,000.00","49,490,850,000"
"9,600,000.00","49,500,820,000"
"9,650,000.00","49,497,370,000"
"9,700,000.00","49,488,480,000"
"9,750,000.00","49,490,650,000"
"9,800,000.00","49,492,230,000"
"9,850,000.00","49,490,750,000"
"9,900,000.00","49,492,030,000"
"9,950,000.00","49,484,530,000"
"10,000,000.00","49,494,700,000"
"10,050,000.00","49,480,870,000"
"10,100,000.00","49,491,440,000"
"10,150,000.00","49,496,970,000"
"10,200,000.00","49,494,400,000"
"10,250,000.00","49,495,690,000"
"10,300,000.00","49,489,460,000"
"10,350,000.00","49,491,240,000"
"10,400,000.00","49,496,770,000"
"10,450,000.00","49,489,960,000"
"10,500,000.00","49,499,140,000"
"10,550,000.00","49,494,110,000"
"10,600,000.00","49,496,770,000"
"10,650,000.00","49,495,290,000"
"10,700,000.00","49,494,900,000"
"10,750,000.00","49,498,160,000"
"10,800,000.00","49,490,950,000"
"10,850,000.00","49,498,550,000"
"10,900,000.00","49,496,180,000"
"10,950,000.00","49,495,000,000"
"11,000,000.00","49,497,760,000"
"11,050,000.00","49,495,590,000"
"11,100,000.00","49,496,670,000"
"11,150,000.00","49,495,980,000"
"11,200,000.00","49,494,800,000"
"11,250,000.00","49,492,030,000"
"11,300,000.00","49,496,670,000"
"11,350,000.00","49,499,240,000"
"11,400,000.00","49,500,230,000"
"11,450,000.00","49,501,220,000"
"11,500,000.00","49,503,490,000"
"11,550,000.00","49,499,050,000"
"11,600,000.00","49,502,600,000"
"11,650,000.00","49,502,500,000"
"11,700,000.00","49,501,420,000"
"11,750,000.00","49,498,450,000"
"11,800,000.00","49,501,020,000"
"11,850,000.00","49,494,400,000"
"11,900,000.00","49,498,950,000"
"11,950,000.00","49,499,930,000"
"12,000,000.00","49,507,150,000"
"12,050,000.00","49,497,370,000"
"12,100,000.00","49,502,400,000"
"12,150,000.00","49,505,270,000"
"12,200,000.00","49,505,270,000"
