Distance_(mm),Gray_Value
0.000000,20.980
0.004712,20.980
0.009424,20.152
0.014136,20.152
0.018848,22.271
0.023560,35.865
0.028272,48.323
0.032984,67.137
0.037696,69.254
0.042408,73.768
0.047120,50.106
0.051833,43.071
0.056545,25.037
0.061257,23.227
0.065969,22.059
0.070681,22.059
0.075393,21.972
0.080105,41.777
0.084817,70.532
0.089529,106.793
0.094241,128.285
0.098953,147.980
0.103665,139.965
0.108377,129.016
0.113089,90.181
0.117801,56.138
0.122513,32.298
0.127225,17.706
0.131937,18.973
0.136649,31.789
0.141361,60.791
0.146073,97.908
0.150785,122.759
0.155498,143.644
0.160210,145.819
0.164922,149.285
0.169634,137.660
0.174346,115.645
0.179058,76.649
0.183770,35.796
0.188482,19.839
0.193194,9.282
0.197906,31.963
0.202618,55.968
0.207330,87.342
0.212042,115.821
0.216754,110.605
0.221466,116.486
0.226178,75.613
0.230890,58.789
0.235602,32.246
0.240314,24.422
0.245026,21.621
0.249738,22.289
0.254451,42.543
0.259163,75.537
0.263875,106.188
0.268587,134.658
0.273299,140.812
0.278011,141.686
0.282723,108.317
0.287435,81.126
0.292147,45.796
0.296859,27.459
0.301571,23.480
0.306283,23.480
0.310995,24.975
0.315707,51.417
0.320419,72.768
0.325131,112.846
0.329843,116.718
0.334555,129.688
0.339267,93.798
0.343979,62.715
0.348691,33.021
0.353404,13.973
0.358116,11.333
0.362828,18.482
0.367540,50.606
0.372252,81.296
0.376964,113.991
0.381676,134.300
0.386388,138.479
0.391100,140.234
0.395812,115.564
0.400524,85.152
0.405236,49.780
0.409948,27.771
0.414660,16.512
0.419372,17.053
0.424084,40.557
0.428796,71.837
0.433508,106.901
0.438220,133.785
0.442932,140.239
0.447644,145.369
0.452356,113.771
0.457069,87.105
0.461781,47.895
0.466493,29.950
0.471205,23.218
0.475917,23.177
0.480629,22.952
0.485341,34.777
0.490053,55.785
0.494765,89.904
0.499477,96.250
0.504189,112.954
0.508901,81.807
0.513613,61.988
0.518325,35.144
0.523037,23.895
0.527749,21.215
0.532461,21.215
0.537173,22.461
0.541885,24.814
0.546597,31.878
0.551309,49.207
0.556022,46.037
0.560734,53.823
0.565446,34.277
0.570158,30.911
0.574870,22.968
0.579582,22.567
0.584294,22.374
0.589006,22.374
0.593718,22.706
0.598430,23.729
0.603142,24.200
0.607854,25.509
