Distance_(mm),Gray_Value
0.000000,20.315
0.004712,20.315
0.009424,22.338
0.014136,23.047
0.018848,24.862
0.023560,27.355
0.028272,25.548
0.032984,26.970
0.037696,23.424
0.042408,23.613
0.047120,19.394
0.051833,19.388
0.056545,16.828
0.061257,16.828
0.065969,16.859
0.070681,21.160
0.075393,36.570
0.080105,53.393
0.084817,68.840
0.089529,89.568
0.094241,92.244
0.098953,98.113
0.103665,69.269
0.108377,59.984
0.113089,37.756
0.117801,29.038
0.122513,22.416
0.127225,22.416
0.131937,22.050
0.136649,34.535
0.141361,55.991
0.146073,84.911
0.150785,108.897
0.155498,134.407
0.160210,143.319
0.164922,150.269
0.169634,136.088
0.174346,118.612
0.179058,86.382
0.183770,57.094
0.188482,38.535
0.193194,22.271
0.197906,21.449
0.202618,27.709
0.207330,45.671
0.212042,68.933
0.216754,88.111
0.221466,115.412
0.226178,121.754
0.230890,133.147
0.235602,111.632
0.240314,100.992
0.245026,65.188
0.249738,44.172
0.254451,22.047
0.259163,11.901
0.263875,9.581
0.268587,13.158
0.273299,27.263
0.278011,43.322
0.282723,52.454
0.287435,68.111
0.292147,54.975
0.296859,52.762
0.301571,33.879
0.306283,30.638
0.310995,21.969
0.315707,21.831
0.320419,21.025
0.325131,25.571
0.329843,42.865
0.334555,67.750
0.339267,91.509
0.343979,119.028
0.348691,128.977
0.353404,140.382
0.358116,120.767
0.362828,104.175
0.367540,70.474
0.372252,52.133
0.376964,32.947
0.381676,24.435
0.386388,22.011
0.391100,22.011
0.395812,24.380
0.400524,41.391
0.405236,51.509
0.409948,73.746
0.414660,75.773
0.419372,85.587
0.424084,59.948
0.428796,48.693
0.433508,28.812
0.438220,18.341
0.442932,12.892
0.447644,12.393
0.452356,21.510
0.457069,34.926
0.461781,54.588
0.466493,77.150
0.471205,86.881
0.475917,108.438
0.480629,93.103
0.485341,88.958
0.490053,57.767
0.494765,47.219
0.499477,26.319
0.504189,19.038
0.508901,16.135
0.513613,24.490
0.518325,47.908
0.523037,69.992
0.527749,96.199
0.532461,119.836
0.537173,129.172
0.541885,138.826
0.546597,116.324
0.551309,97.770
0.556022,65.613
0.560734,51.114
0.565446,33.136
0.570158,25.355
0.574870,24.017
0.579582,25.459
0.584294,37.817
0.589006,58.926
0.593718,74.468
0.598430,99.106
0.603142,105.038
0.607854,118.366
0.612566,90.818
0.617278,76.025
0.621990,49.263
0.626702,34.721
0.631414,22.631
0.636126,19.599
0.640838,20.707
0.645550,20.707
0.650262,25.681
0.654975,36.444
0.659687,40.836
0.664399,52.394
0.669111,45.516
0.673823,48.815
0.678535,34.063
0.683247,31.471
0.687959,22.221
0.692671,20.507
0.697383,18.864
0.702095,18.864
0.706807,19.656
0.711519,19.668
0.716231,21.795
0.720943,22.623
0.725655,23.429
0.730367,23.388
0.735079,22.848
0.739791,23.020
